match_id,season,date,city,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,player_of_match,inning,batting_team,bowling_team,over,ball,batter,bowler,non_striker,runs_scored,extras,current_score,wickets_down,balls_remaining,wickets_remaining,current_run_rate,required_run_rate,target_score,wicket_kind,player_out,fielder
1473438,2025,3/22/2025,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7,KH Pandya,1,Kolkata Knight Riders,Royal Challengers Bengaluru,0,1,Q de Kock,JR Hazlewood,SP Narine,0,0,0,0,119,10,0.0,,,,,
1473438,2025,3/22/2025,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7,KH Pandya,1,Kolkata Knight Riders,Royal Challengers Bengaluru,0,2,Q de Kock,JR Hazlewood,SP Narine,4,0,4,0,118,10,12.0,,,,,
1473438,2025,3/22/2025,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7,KH Pandya,1,Kolkata Knight Riders,Royal Challengers Bengaluru,0,3,Q de Kock,JR Hazlewood,SP Narine,0,0,4,0,117,10,8.0,,,,,
1473438,2025,3/22/2025,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7,KH Pandya,1,Kolkata Knight Riders,Royal Challengers Bengaluru,0,4,Q de Kock,JR Hazlewood,SP Narine,0,0,4,0,116,10,6.0,,,,,
1473438,2025,3/22/2025,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7,KH Pandya,1,Kolkata Knight Riders,Royal Challengers Bengaluru,0,5,Q de Kock,JR Hazlewood,SP Narine,0,0,4,1,115,9,4.8,,,caught,Q de Kock,JM Sharma
1473438,2025,3/22/2025,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7,KH Pandya,1,Kolkata Knight Riders,Royal Challengers Bengaluru,0,6,AM Rahane,JR Hazlewood,SP Narine,0,0,4,1,114,9,4.0,,,,,
1473438,2025,3/22/2025,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7,KH Pandya,1,Kolkata Knight Riders,Royal Challengers Bengaluru,1,1,SP Narine,Yash Dayal,AM Rahane,0,0,4,1,113,9,3.43,,,,,
1473438,2025,3/22/2025,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7,KH Pandya,1,Kolkata Knight Riders,Royal Challengers Bengaluru,1,2,SP Narine,Yash Dayal,AM Rahane,0,0,4,1,112,9,3.0,,,,,
1473438,2025,3/22/2025,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7,KH Pandya,1,Kolkata Knight Riders,Royal Challengers Bengaluru,1,3,SP Narine,Yash Dayal,AM Rahane,0,0,4,1,111,9,2.67,,,,,
1473438,2025,3/22/2025,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7,KH Pandya,1,Kolkata Knight Riders,Royal Challengers Bengaluru,1,4,SP Narine,Yash Dayal,AM Rahane,0,0,4,1,110,9,2.4,,,,,
1473438,2025,3/22/2025,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7,KH Pandya,1,Kolkata Knight Riders,Royal Challengers Bengaluru,1,5,SP Narine,Yash Dayal,AM Rahane,1,0,5,1,109,9,2.73,,,,,
1473438,2025,3/22/2025,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7,KH Pandya,1,Kolkata Knight Riders,Royal Challengers Bengaluru,1,6,AM Rahane,Yash Dayal,SP Narine,0,0,5,1,108,9,2.5,,,,,
1473438,2025,3/22/2025,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7,KH Pandya,1,Kolkata Knight Riders,Royal Challengers Bengaluru,2,1,SP Narine,JR Hazlewood,AM Rahane,0,0,5,1,107,9,2.31,,,,,
1473438,2025,3/22/2025,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7,KH Pandya,1,Kolkata Knight Riders,Royal Challengers Bengaluru,2,2,SP Narine,JR Hazlewood,AM Rahane,0,0,5,1,106,9,2.14,,,,,
1473438,2025,3/22/2025,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7,KH Pandya,1,Kolkata Knight Riders,Royal Challengers Bengaluru,2,3,SP Narine,JR Hazlewood,AM Rahane,0,0,5,1,105,9,2.0,,,,,
1473438,2025,3/22/2025,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7,KH Pandya,1,Kolkata Knight Riders,Royal Challengers Bengaluru,2,4,SP Narine,JR Hazlewood,AM Rahane,4,0,9,1,104,9,3.38,,,,,
1473438,2025,3/22/2025,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7,KH Pandya,1,Kolkata Knight Riders,Royal Challengers Bengaluru,2,5,SP Narine,JR Hazlewood,AM Rahane,0,0,9,1,103,9,3.18,,,,,
1473438,2025,3/22/2025,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7,KH Pandya,1,Kolkata Knight Riders,Royal Challengers Bengaluru,2,6,SP Narine,JR Hazlewood,AM Rahane,0,0,9,1,102,9,3.0,,,,,
