Date,Match,BO,Run,Boundary,SR,Out
09/03/25,IND vs NZ,3,1 (2),0/0,50,lbw
04/03/25,IND vs AUS,3,84 (98),5/0,85.7,catch
02/03/25,IND vs NZ,3,11 (14),2/0,78.5,catch
23/02/25,IND vs PAK,3,100 (111),7/0,90,not out
20/02/25,IND vs BAN,3,22 (38),1/0,57.8,catch
12/02/25,IND vs ENG,3,52 (55),7/1,94.5,catch
09/02/25,IND vs ENG,3,5 (8),1/0,62.5,catch
07/08/24,IND vs SL,3,20 (18),4/0,111.1,lbw
04/08/24,IND vs SL,3,14 (19),2/0,73.6,lbw
02/08/24,IND vs SL,3,24 (32),2/0,75,lbw
19/11/23,IND vs AUS,3,54 (63),4/0,85.7,bowled
15/11/23,IND vs NZ,3,117 (113),9/2,103.5,catch
12/11/23,IND vs NED,3,51 (56),5/1,91,bowled
05/11/23,IND vs SA,3,101 (121),10/0,83.4,not out
02/11/23,IND vs SL,3,88 (94),11/0,93.6,catch
29/10/23,IND vs ENG,3,0 (9),0/0,0,catch
22/10/23,IND vs NZ,3,95 (104),8/2,91.3,catch
19/10/23,IND vs BAN,3,103 (97),6/4,106.1,not out
14/10/23,IND vs PAK,3,16 (18),3/0,88.8,catch
11/10/23,IND vs AFG,3,55 (56),6/0,98.2,not out
08/10/23,IND vs AUS,3,85 (116),6/0,73.2,catch
27/09/23,IND vs AUS,3,56 (61),5/1,91.8,catch
12/09/23,IND vs SL,3,3 (12),0/0,25,catch
10/09/23,IND vs PAK,3,122 (94),9/3,129.7,not out
02/09/23,IND vs PAK,3,4 (7),1/0,57.1,bowled
22/03/23,IND vs AUS,3,54 (72),2/1,75,catch
19/03/23,IND vs AUS,3,31 (35),4/0,88.5,lbw
17/03/23,IND vs AUS,3,4 (9),1/0,44.4,lbw
24/01/23,IND vs NZ,3,36 (27),3/1,133.3,catch
21/01/23,IND vs NZ,3,11 (9),2/0,122.2,stumped
18/01/23,IND vs NZ,3,8 (10),1/0,80,bowled
15/01/23,IND vs SL,3,166 (110),13/8,150.9,not out
12/01/23,IND vs SL,3,4 (9),1/0,44.4,bowled
10/01/23,IND vs SL,3,113 (87),12/1,129.8,catch
10/12/22,IND vs BAN,3,113 (91),11/2,124.1,catch
07/12/22,IND vs BAN,1,5 (6),1/0,83.3,bowled
04/12/22,IND vs BAN,3,9 (15),1/0,60,catch
17/07/22,IND vs ENG,3,17 (22),3/0,77.2,catch
14/07/22,IND vs ENG,3,16 (25),3/0,64,catch
11/02/22,IND vs WI,3,0 (2),0/0,0,catch
09/02/22,IND vs WI,3,18 (30),3/0,60,catch
06/02/22,IND vs WI,3,8 (4),2/0,200,catch
23/01/22,IND vs RSA,3,65 (84),5/0,77.3,catch
21/01/22,IND vs SA,3,0 (5),0/0,0,catch
19/01/22,IND vs RSA,3,51 (63),3/0,80.9,catch
28/03/21,IND vs ENG,3,7 (10),1/0,70,bowled
26/03/21,IND vs ENG,3,66 (79),3/1,83.5,catch
23/03/21,IND vs ENG,3,56 (60),6/0,93.3,catch
02/12/20,IND vs AUS,3,63 (78),5/0,80.7,catch
29/11/20,IND vs AUS,3,89 (87),7/2,102.2,catch
27/11/20,IND vs AUS,3,21 (21),2/1,100,catch
11/02/20,IND vs NZ,3,9 (12),0/1,75,catch
08/02/20,IND vs NZ,3,15 (25),1/0,60,bowled
05/02/20,IND vs NZ,3,51 (63),6/0,80.9,bowled
19/01/20,IND vs AUS,3,89 (91),8/0,97.8,bowled
17/01/20,IND vs AUS,3,78 (76),6/0,102.6,catch
14/01/20,IND vs AUS,4,16 (14),0/1,114.2,catch
22/12/19,IND vs WI,3,85 (81),9/0,104.9,bowled
18/12/19,IND vs WI,3,0 (1),0/0,0,catch
14/12/19,IND vs WI,3,4 (4),1/0,100,bowled
14/08/19,IND vs WI,3,114 (99),14/0,115.1,not out
11/08/19,IND vs WI,3,120 (125),14/1,96,catch
09/07/19,IND vs NZ,3,1 (6),0/0,16.6,lbw
06/07/19,IND vs SL,3,34 (41),3/0,82.9,not out
02/07/19,IND vs BAN,3,26 (27),3/0,96.2,catch
30/06/19,IND vs ENG,3,66 (76),7/0,86.8,catch
27/06/19,IND vs WI,3,72 (82),8/0,87.8,catch
22/06/19,IND vs AFG,3,67 (63),5/0,106.3,catch
16/06/19,IND vs PAK,3,77 (65),7/0,118.4,catch
09/06/19,IND vs AUS,3,82 (77),4/2,106.4,catch
05/06/19,IND vs RSA,3,18 (34),1/0,52.9,catch
28/05/19,IND vs BAN,3,47 (46),5/0,102.1,bowled
25/05/19,IND vs NZ,3,18 (24),3/0,75,bowled
13/03/19,IND vs AUS,3,20 (22),2/0,90.9,catch
10/03/19,IND vs AUS,4,7 (6),1/0,116.6,catch
08/03/19,IND vs AUS,3,123 (95),16/1,129.4,bowled
05/03/19,IND vs AUS,3,116 (120),10/0,96.6,catch
02/03/19,IND vs AUS,3,44 (45),6/1,97.7,lbw
28/01/19,IND vs NZ,3,60 (74),6/1,81,catch
26/01/19,IND vs NZ,3,43 (45),5/0,95.5,catch
23/01/19,IND vs NZ,3,45 (59),3/0,76.2,catch
18/01/19,IND vs AUS,3,46 (62),3/0,74.1,catch
15/01/19,IND vs AUS,3,104 (112),5/2,92.8,catch
12/01/19,IND vs AUS,3,3 (8),0/0,37.5,catch
01/11/18,IND vs WI,3,33 (29),6/0,113.7,not out
29/10/18,IND vs WI,3,16 (17),2/0,94.1,catch
27/10/18,IND vs WI,3,107 (119),10/1,89.9,bowled
24/10/18,IND vs WI,3,157 (129),13/4,121.7,not out
21/10/18,IND vs WI,3,140 (107),21/2,130.8,stumped
17/07/18,IND vs ENG,3,71 (72),8/0,98.6,bowled
14/07/18,IND vs ENG,3,45 (56),2/0,80.3,lbw
12/07/18,IND vs ENG,3,75 (82),7/0,91.4,stumped
16/02/18,IND vs RSA,3,129 (96),19/2,134.3,not out
13/02/18,IND vs RSA,3,36 (54),2/0,66.6,run out
10/02/18,IND vs RSA,3,75 (83),7/1,90.3,catch
07/02/18,IND vs RSA,3,160 (159),12/2,100.6,not out
04/02/18,IND vs RSA,3,46 (50),4/1,92,not out
01/02/18,IND vs RSA,3,112 (119),10/0,94.1,catch
29/10/17,IND vs NZ,3,113 (106),9/1,106.6,catch
